Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Kristin Davis,50,6857.29,0,4.69,6,7/8/2014 19:50,"090 Sara Track Apt. 195 Mooremouth, MP 50670","Gonzalez, Castro and Martinez",0
John Richardson,52,10133.36,0,4.6,7,2/24/2014 17:27,"77435 Christopher Union Apt. 871 New Christophermouth, MA 95513-2675",Martinez Inc,0
Daniel Brown,51,4992.6,0,3.85,8,2/12/2016 22:38,"701 Alan Corners Port George, KY 15579-3799",Mosley Ltd,0
Eugene Rowe,50,12941.12,1,5.51,11,6/23/2015 9:54,"45548 Henderson Islands Bakerside, WV 92882-7688",Powell-Parker,0
Cody Middleton,36,11040.16,0,4.52,8,4/14/2010 22:03,"86871 Jimenez Crest Suite 849 East Bruce, MO 68426-6342",Lawrence and Sons,0
Kevin Chapman,35,8058.73,0,6.88,9,2/29/2016 18:23,"40094 Manning Pass Travisburgh, MT 80542",Ortega Group,0
Margaret Moore,44,10638.65,0,5.54,6,6/4/2010 3:04,"2556 Grant Points New Christopherton, CA 76121-6565",Wright PLC,0
Edwin Young,49,10226.43,0,6.02,8,2/27/2014 10:46,"6467 Brett Dam Houstonchester, DE 13162","Graham, Jones and Gonzalez",0
Teresa Bean,38,12020.62,0,4.41,8,2/14/2007 0:56,"4962 Christian Squares North Belinda, OK 98156-7957",Garza LLC,0
Justin Moore,51,12780.22,0,6.06,7,4/4/2015 11:06,"7790 Paul Street Sandraside, AR 55085","Callahan, Miller and Wallace",0
Sarah Morgan,51,6662.59,1,5.27,9,10/3/2009 9:42,"2458 Tyler Flats Suite 696 Rebeccaburgh, VA 79274",Braun-Cook,0
Amanda Hernandez,38,10298.29,1,5.07,9,5/31/2015 21:15,"4792 Amy Wall Apt. 296 Olsenchester, VA 69141-5857","Barry, Brown and Smith",0
Tammy Williams,52,9065.28,0,3.99,5,12/13/2009 18:17,"6720 Barbara Square Christopherchester, UT 54226",Lawrence-Johnson,0
Lawrence Gordon,44,8817.22,1,6.53,10,9/23/2009 9:35,"4041 Wise River Suite 828 West Todd, AR 08725-4767","Austin, Roberts and Cox",0
